nome,price,desc,ano,fotos,km
CHEVROLET CLASSIC LS 2012 - 2012,20900,92.000 km | Câmbio: manual | Flex,2012,9,92000
,0,,0,0,0
Honda City 1.5 2014 Automático - 2014,48890,99.000 km | Câmbio: automático | Flex,2014,17,99000
Vw - Volkswagen Fox trend 1.6 2014 completo - 2014,33900,100 km | Câmbio: manual | Flex,2014,9,100
Idea 2014 - 2014,34900,90.000 km | Câmbio: manual | Flex,2014,6,90000
VW Voyage 1.6 2012 Completo - 2012,24900,160.000 km | Câmbio: manual | Flex,2012,10,160000
;fb GM Prisma LTZ 1.4 Aut - Baixo km - 2016,0,49.000 km | Câmbio: automático | Flex,2016,9,49000
Gm - Chevrolet Celta LT - 2012,21900,140.000 km | Câmbio: manual | Flex,2012,11,140000
I30 2.0 2010 completo automático baixo km - 2010,33900,119.000 km | Câmbio: automático | Gasolina,2010,12,119000
/Gm - Chevrolet Prisma - Baixissíma KM - 6 Marchas - Direção Elétrica - 2018 - 2018,0,17.000 km,2018,4,0
TOYOTA COROLLA 1.8 GLI UPPER 16V FLEX 4P AUTOMÁTICO - 2017,72890,41.455 km | Câmbio: automático | Flex,2017,7,41455
Ecosport 99 mil km novinha - 2012,29990,99.000 km | Câmbio: automático | Flex,2012,16,99000
Mitsubishi Lancer 2.0 Automatico File - 2014,43900,58.000 km | Câmbio: automático,2014,7,58000
FIAT DUCATO MINIBUS Van 2.8 4P   2003 - 2003,32900,550.000 km | Câmbio: manual | Diesel,2003,5,550000
FIAT PALIO 2014/2015 1.0 MPI FIRE 8V FLEX 2P MANUAL - 2015,22900,41.000 km | Câmbio: manual | Flex,2015,10,41000
FORD KA 2018/2018 1.0 SE PLUS 12V FLEX 4P MANUAL - 2018,38900,36.309 km | Câmbio: manual | Flex,2018,15,36309
SUZUKI GRAND VITARA 2013/2014 2.0 4X4 16V GASOLINA 4P AUTOMÁTICO - 2014,57900,94.460 km | Câmbio: automático | Gasolina,2014,16,94460
CHEVROLET SONIC 2012/2013 1.6 LTZ SEDAN 16V FLEX 4P AUTOMATICO - 2013,33198,61.895 km | Câmbio: automático | Flex,2013,11,61895
Vw - Volkswagen Gol G4 - 2006,13200,200.000 km | Câmbio: manual | Flex,2006,13,200000
Grand Siena 2013 - 2013,28000,103.000 km | Câmbio: manual | Flex,2013,6,103000
Doblô Cargo Completa - 2016,40000,144.000 km | Câmbio: manual | Flex,2016,5,144000
Vendo ou troco Fox 1.0 mi FLex ano 2006 - 2006,11000,0 km | Câmbio: manual | Flex,2006,7,0
,0,,0,0,0
Honda Fit 2014 - 2014,0,50.000 km | Câmbio: automático | Flex,2014,6,50000
Vendo 98 Completo - 1998,8100,48.580 km | Câmbio: manual | Gasolina,1998,3,48580
Gm - Chevrolet Montana Sport 1.4 - 2016,41890,70.000 km | Câmbio: manual | Flex,2016,9,70000
Gm - Chevrolet Cruze - 2012,42000,74.000 km | Câmbio: automático | Flex,2012,5,74000
Fox prime 1.6 aceito troca menor valor - 2013,29000,92.000 km | Câmbio: manual | Flex,2013,9,92000
Marea 2003 - 2003,8000,200.000 km | Câmbio: manual | Gasolina,2003,6,200000
"BC - Chevrolet Astra 2.0 - 2009 ""Impecável"" - 2009",0,1 km | Câmbio: manual | Flex,2009,5,1
Citroen C3 1.4 GLX Apenas 67.000 km-Completo 2012 - 2012,23900,67.000 km | Câmbio: manual | Flex,2012,7,67000
Carro FOX em perfeito estado - 2011,22000,0 km | Câmbio: manual | Flex,2011,8,0
Gol Sport 1.0 - 2002,7500,165.000 km | Câmbio: manual | Gasolina,2002,5,165000
Strada Freedom 1.4 CD - 2019-Baixo Km !!! De R$ 65.900 por R$ 61.900!!! - 2019,0,6.000 km | Câmbio: manual | Flex,2019,10,6000
Ford Ka Sedan - 2016,37900,59.000 km | Câmbio: manual | Flex,2016,6,59000
,0,,0,0,0
Fox abaixo da tabela - 2007,16700,130.000 km | Flex,2007,6,130000
Saveiro trendline 1.6 8v CD flex 2015 - 2015,43900,82.800 km | Câmbio: manual | Flex,2015,6,82800
!Bmw X1 - 2013,0,29.000 km,2013,17,0
CHEVROLET ONIX 2014/2015 1.0 MPFI LT 8V FLEX 4P MANUAL - 2015,33990,89.000 km | Câmbio: manual | Flex,2015,10,89000
Ford Fiesta - 2006,14000,128.000 km | Câmbio: manual | Flex,2006,7,128000
CHEVROLET PRISMA 2014/2015 1.4 MPFI LTZ 8V FLEX 4P AUTOMÁTICO - 2015,45900,66.000 km | Câmbio: automático | Flex,2015,12,66000
$$Honda City - 2012,0,75.000 km | Câmbio: manual | Flex,2012,8,75000
Agile ltz 1.4 flex com Parcelas de 699 reais - 0812 - 2014,36900,1 km | Câmbio: manual | Flex,2014,6,1
,0,,0,0,0
New Fiesta Se impecável ! - 2014,34000,67.000 km | Câmbio: manual | Flex,2014,1,67000
Renault Sandero - 2014,32000,48.000 km | Câmbio: manual | Flex,2014,9,48000
Vendo Volvo C30 2010/2010 2.0 impecável - 2010,35000,159.830 km | Câmbio: manual | Gasolina,2010,9,159830
Ford Fusion Titanium AWD - 2013,70000,73.000 km | Câmbio: automático | Gasolina,2013,5,73000
% Celer maximo conforto 1(12)988785046 Valeria - 2015,26900,90.000 km,2015,4,0
F*R Gm Chevrolet Zafira 7 Lugares Baixo KM Único Dono 2011 - 2011,0,83.000 km | Câmbio: automático | Flex,2011,6,83000
Fox 2016 completo - 2016,0,0 km | Câmbio: manual | Flex,2016,7,0
"Chevrolet Cobalt LTZ 2014 1.4 com Mylink, maravilhoso! - 2014",0,104.000 km | Câmbio: manual | Flex,2014,10,104000
®Fiat strada Adventure 1.8 flex 2016 FLEX cabine dupla 3 portas - 2016,0,64.000 km | Câmbio: manual | Flex,2016,5,64000
Cruze ltz 2 top de linha 2018 abaixo da tabela tranf. dívida - 2018,86000,17.200 km | Câmbio: automático | Flex,2018,9,17200
,0,,0,0,0
ABX Tabela - Troco ou vendo - 2007,12000,240 km | Câmbio: manual | Flex,2007,17,240
Citroen c3 1.4 2010 completo abx tabela - 2010,18700,92.000 km | Câmbio: manual | Flex,2010,5,92000
Peugeot 508 - 2012,41900,109.000 km | Câmbio: automático | Gasolina,2012,15,109000
Logan - 2013,22900,125 km | Câmbio: manual | Flex,2013,5,125
KIA SORENTO 2016/2016 3.3 V6 GASOLINA EX 7L AUTOMATICO - 2016,139900,43.500 km | Câmbio: automático | Gasolina,2016,8,43500
/Bmw X1 - Único Dono - 29mil KM - Teto Solar - 2013 - 2013,0,29.900 km,2013,15,0
Vendo Citroen C4 2.0 Hatch 2010 - 2010,22000,131.000 km | Câmbio: manual | Flex,2010,7,131000
Ford Ka - 2003,10600,147.000 km | Câmbio: manual | Gasolina,2003,6,147000
Ford Fiesta Hatch 1.0 Completo - 2013,20000,105.000 km | Câmbio: manual | Flex,2013,6,105000
Gm - Chevrolet Cruze - 2012,35600,121.000 km | Câmbio: automático | Flex,2012,5,121000
C3 picasso glx automático - 2012,30900,65.000 km | Câmbio: automático | Diesel,2012,8,65000
Peugeot 308 Allure 2.0 - com todas as revisões - 2014,34990,70.000 km | Câmbio: manual | Flex,2014,5,70000
CHEVROLET CRUZE 1.8 LT 16V FLEX 4P AUTOMÁTICO - 2015,51990,91.490 km | Câmbio: automático | Flex,2015,8,91490
CHEVROLET ONIX 1.4 MPFI LT 8V FLEX 4P MANUAL - 2016,40500,49.347 km | Câmbio: manual | Flex,2016,8,49347
Palio 1.0 fire flex 2p !!!Abaixo da tabela!!! - 2009,14900,89.000 km | Câmbio: manual | Flex,2009,8,89000
Spin ltz 1.8 flex 2013 - 3834 - 2013,39900,126.000 km | Câmbio: manual | Flex,2013,14,126000
RENAULT LOGAN 1.0 EXPRESSION 16V FLEX 4P MANUAL. - 2017,38900,33.000 km | Câmbio: manual | Flex,2017,6,33000
FORD ECOSPORT 2017/2018 1.5 TIVCT FLEX SE MANUAL - 2018,62900,31.660 km | Câmbio: manual | Flex,2018,8,31660
Chevrolet Onix 1.4 Mpfi Ltz 8v - 2018,54990,49.000 kmautomáticoFlex,2018,9,0
PEUGEOT 208 2014/2014 1.6 GRIFFE 16V FLEX 4P AUTOMÁTICO - 2014,40900,95.500 kmautomáticoFlex,2014,8,0
,0,,0,0,0
Vw - Volkswagen Gol vendo ou troco - 1996,7000,424.320 kmmanualGasolina,1996,0,0
City EX - 2015,53990,80.000 kmautomáticoFlex,2015,5,0
Fiat Uno - 2012,30900,0 kmmanualFlex,2012,6,0
Strada 1.4 fire Flex 2010 - aceito troca - 2010,20900,1 kmmanualFlex,2010,4,0
Vende se saveiro cross cd - 2017,62000,44.500 kmmanualFlex,2017,7,0
"Vw Up Move 1.0 Flex "" Apenas 38.000 km "" Imotion - 2016 - 2016",0,38.000 kmFlex,2016,6,0
CHEVROLET ONIX 2014/2015 1.4 MPFI LTZ 8V FLEX 4P MANUAL - 2015,40314,78.352 kmmanualFlex,2015,6,0
CHEVROLET PRISMA 2018/2018 1.0 MPFI JOY 8V FLEX 4P MANUAL - 2018,41900,35.090 kmmanualFlex,2018,12,0
Vendo - 2011,30000,93.000 kmmanualFlex,2011,6,0
Celta 1.0 - 2002,10000,150.000 kmmanualGasolina,2002,6,0
TH - Gm - Chevrolet Vectra GT - Unico Dono - Aceito Troca - 2009,26900,120.000 kmmanualFlex,2009,8,0
Jimny Abaixo da Tabela - com teto solar - 2016,51000,65.000 kmmanualGasolina,2016,5,0
,0,,0,0,0
JEEP RENEGADE 2018/2018 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO - 2018,77490,30.526 kmautomáticoFlex,2018,7,0
ONIX LS 2016 COMPLETO (- vidro elétrico) - 2016,31900,56.000 kmmanualFlex,2016,12,0
Corsa hatch econoflex 2011 Completo. - 2011,18000,111.100 kmmanualFlex,2011,1,0
Fiat palio 1.0 Fire impecável - 2001,10900,215.000 kmmanualGasolina,2001,16,0
Gm - Chevrolet Vectra GT Impecável - 2009,25900,155.000 kmmanualFlex,2009,13,0
Gol g5 1.6 Power 2010>>urgente??! - 2010,20000,178 kmmanualFlex,2010,14,0
CITROËN C4 LOUNGE 2015/2016 1.6 EXCLUSIVE 16V TURBO FLEX 4P AUTOMATICO - 2016,62156,118.514 kmautomáticoFlex,2016,13,0
Vende-se ou trocar por moto ou de menor valor - 2015,30000,88.000 kmmanualFlex,2015,7,0
,0,,0,0,0
/Hyundai Hb20s Comfort - Completo - Banco de Couro - Automático - 2016 - 2016,0,0 km,2016,7,0
Kia Motors Sportage EX 2.0 Automatica 2010 - 2010,34900,156.000 kmautomáticoGasolina,2010,7,0
"Especial sentra 2.0 automático completo aguardando por voce , pego carro na troca - 2008",27900,153.000 kmautomáticoGasolina,2008,6,0
Vendo lindo Voyage - 2014,30000,99.999 kmmanualFlex,2014,6,0
Vendo ou Troco Fiat Tempra - 1995,5200,1 kmmanualGasolina,1995,10,0
FIAT  GRAND SIENA 1.6 MPI ESSENCE 16V 2014 - 2015,35900,92.000 kmmanualFlex,2015,7,0
G- Nissan March 2014 1.6 flex fuel - 2014,31900,81.000 kmmanualFlex,2014,13,0
Fox 1.6 MSI Highline 2015 - 2015,41900,64.000 kmautomáticoFlex,2015,8,0
Vitara 2009 4X4 Automática Vendo/Troco/Financio - 2009,37900,1 kmautomáticoGasolina,2009,10,0
Ford Focus 1.6 aut 2015 - 2015,50900,107.000 kmautomáticoFlex,2015,7,0
,0,,0,0,0
",FB Ford Ecosport - 2012",0,126.000 kmautomáticoFlex,2012,5,0
Honda Civic 1.8 lxs 16v flex 4p manual - 2014,47890,121.000 kmmanualFlex,2014,14,0
Fiat Strada adv locker - 2010,30900,110.000 kmmanualFlex,2010,14,0
Astra batch advantage 2.0 flex - 2007,0,180 kmmanualFlex,2007,6,0
Vw - Volkswagen Fox - 2015,33490,101.000 kmmanualFlex,2015,8,0
Gol g2 special 2002 - 2002,9000,12.000 km,2002,5,0
"$$Gm - Chevrolet Cruze , falar com Washington - 2012",0,112.000 kmmanualFlex,2012,5,0
"® Onix 2018 completo, o melhor preço do mercado, atendimento por Whatsapp imediato - 2018",0,1 kmmanualFlex,2018,5,0
Ecosport 2014 || BAIXO KM - 2014,48900,92.000 km,2014,3,0
Peugeot 308 griffe 1.6 turbo completo top de linha - 2014,46900,102.000 kmautomáticoFlex,2014,11,0
Toro freedom 2.4 2018 completa - 2018,86900,10.000 kmautomáticoFlex,2018,8,0
Renault Scenic - 2006,15990,127.000 kmmanualFlex,2006,8,0
Crossfox 2009 Cinza completo - 9279 - 2009,26900,68.000 kmmanualFlex,2009,10,0
CHEVROLET ONIX 1.4 MPFI LTZ 8V FLEX 4P MANUAL - 2015,40900,50.466 kmmanualFlex,2015,9,0
Imperdível!!! - 2007,11900,50.000 kmmanualGasolina,2007,11,0
+Renault Clio - 2013,0,0 kmmanualFlex,2013,1,0
Renault Sandero 2018 1.0 com KM excelente!! - 2018,0,28.200 kmmanualFlex,2018,8,0
R Palio Attractive 2013 UBER/99POP - 2013,0,85 kmmanualFlex,2013,6,0
;) LM Abx Fipe Grand Vitara 2.0 16V 2WD - Automático - Completo - 2012,0,100.000 km,2012,5,0
FIAT TORO 2018/2019 2.0 16V TURBO DIESEL RANCH 4WD AT9 - 2019,145900,automáticoDiesel,2019,20,0
,0,,0,0,0
Dodge Journey Mayumi Honda - 2010,39900,100.500 kmmanualGasolina,2010,4,0
Toyota Corolla / Shooping JK ( capital veiculos ) - 2010,45990,130.000 kmmanualFlex,2010,4,0
ARS/ CRUZE LT AUT. KM 17 mil APENAS UNICO DONO - 2017,0,17 kmautomáticoFlex,2017,9,0
Tucson 2016 - 2016,53000,45.000 kmautomáticoFlex,2016,1,0
Mercedes clc 200 kompressor 2010 (estudo troca) - 2010,37000,68.000 kmautomáticoGasolina,2010,19,0
Bmw X1 2.0 16V (Com Teto Panorâmico) Patrick Amaral (12)99632-0880 - 2011,70900,140.000 km,2011,4,0
Corsa Sedan 2003 1.0 - 2003,10000,213.000 kmmanualGasolina,2003,3,0
Peugeot XR 2011 motor 1.4 flex - 2011,16900,65.000 kmmanualFlex,2011,20,0
Gm - Chevrolet Zafira - 2007,25900,137.000 kmmanualFlex,2007,5,0
Mercedes-benz A200 Urban Turbo - 2014,73900,78.000 kmautomáticoGasolina,2014,10,0
Golf GTI 220cv 2015 original - 2015,88900,61.000 kmautomáticoFlex,2015,6,0
Gol quadrado - 1993,10000,99.000 kmÁlcool,1993,13,0
,0,,0,0,0
Gol g2 special 2002 - 2002,9000,150.000 kmmanualGasolina,2002,6,0
Celta 2008 Particular - 2008,12500,113.000 kmmanualÁlcool,2008,0,0
Outlander GT V6 4WD abaixo Fipe - 2012,49900,125.000 kmautomáticoGasolina,2012,8,0
Toyota Etios 2017 Platinum 1.5 Aut + Couro - 2017,50899,57.899 kmautomáticoFlex,2017,12,0
Prisma Maxx 1.4 - 2010,21900,154.359 kmmanualFlex,2010,7,0
FORD KA 2017/2018 1.0 TI-VCT SE 12V FLEX 4P MANUAL - 2018,36900,40.500 kmmanualFlex,2018,6,0
;) JS Hyundai I30 2.0 prata 2010 - 2010,32900,139.000 kmautomáticoGasolina,2010,14,0
CHEVROLET CORSA HATCH PREMIUM 1.4 8v(Econo.Flex) 4P  2009 - 2009,19900,187.022 kmmanualFlex,2009,8,0
,0,,0,0,0
Gm - Chevrolet Cruze Sport LTZ Turbo - 2017,88900,13.000 kmautomáticoFlex,2017,10,0
Vw - Volkswagen Fox confortline completo financio 48x no cartao sem juros 10x - 2014,29990,74.500 kmmanualFlex,2014,13,0
Gm - Chevrolet Corvette Corvette Grand Sport - 2012,325000,24.000 kmautomáticoGasolina,2012,11,0
Vende troca - 1991,5500,58.321 kmmanualGasolina,1991,7,0
HB20S 1.6 2014 Completo Abx Tabela - 2014,38000,82.000 kmmanualFlex,2014,10,0
"Focus sedan guia, Promissória, leiam - 2003",10000,150 kmmanualGasolina,2003,6,0
Ford ka 2009 - 2009,0,90.000 kmmanualFlex,2009,6,0
Gm - Chevrolet Cruze - 2018,87000,10.615 kmautomáticoFlex,2018,10,0
Civic lxr 2015 baixo km - 2015,62000,51.000 kmautomáticoFlex,2015,5,0
© Suzuki Gran Vitara 4SPORT 1.4 ALLGRID TURBO (FLEX)(AUTO) - 2017,0,48 kmautomáticoFlex,2017,9,0
,0,,0,0,0
Astra Hatch Parcelas de 499 reais - 1053 - 2007,22990,1 kmmanualFlex,2007,6,0
LIFAN X60 2013/2014 1.8 16V GASOLINA 4P MANUAL - 2014,38900,92.000 kmmanualGasolina,2014,0,0
CHEVROLET CRUZE 1.4 TURBO LTZ 16V FLEX 4P AUTOMÁTICO - 2017,86700,24.435 kmautomáticoFlex,2017,10,0
Renault Clio Flex Completo - 2005,10500,180.000 kmmanualFlex,2005,5,0
"Titulo : Clio 1.0 16V 07/08 6.500,00 + Divida - 2008",13000,139.000 kmmanualFlex,2008,11,0
Cruze Sport6 1.4 turbo LTZ2 - impecável 2018 - 2018,87900,13.300 kmautomáticoFlex,2018,10,0
VW Polo 1.6 - 2012,27900,101 kmFlex,2012,6,0
CHEVROLET TRAILBLAZER 2014/2014 3.6 LTZ 4X4 V6 GASOLINA 4P AUTOMATICO - 2014,100900,87.459 kmautomáticoGasolina,2014,9,0
"BC - Fiat Idea Attract. 1.4 - 2014 ""Baixa Km"" - 2014",0,70 kmmanualFlex,2014,5,0
RENAULT DUSTER 2017/2018 2.0 16V HI-FLEX DYNAMIQUE AUTOMÁTICO - 2018,65890,21.400 kmautomáticoFlex,2018,9,0
Duster Tech Road 2.0 4X4 2014/2015 - 2015,50000,79.000 kmmanualFlex,2015,9,0
Vw - Volkswagen Gol - 2010,15000,165.000 kmmanualFlex,2010,1,0
Stilo 1.8 2011 abaixo da tabela - 2011,18000,96 kmFlex,2011,5,0
Vendo palio - 2004,15500,162 kmmanualFlex,2004,2,0
Saveiro 2.0 2001 com direção - 2001,16500,158 kmmanualGasolina,2001,5,0
Pallace 2008 gasolina - 2008,22500,98 kmmanualGasolina,2008,4,0
Corolla xei 2010 flex com dvd - 2010,39900,128 kmmanualFlex,2010,6,0
Fiesta 1.0 2009 completo - 2009,19000,109 kmmanualFlex,2009,3,0
;Fab* Chevrolet Cobalt - 2015,0,88.000 km | Câmbio: manual | Flex,2015,8,88000
Vendo / troco - 2007,22000,190 km | Câmbio: automático | Gasolina,2007,0,190
,0,,0,0,0
Corolla impecavel - 2001,16000,1 km | Câmbio: manual | Gasolina,2001,6,1
Honda City 2010 automático 1.5 a baixo da tabela - 2010,30500,149.055 km | Câmbio: automático | Flex,2010,6,149055
S10 cabine dupla 2018 diesel automática Particular - 2018,124900,28.000 km | Câmbio: automático | Diesel,2018,1,28000
Escort Hobby 1993 - 1993,5200,0 km | Câmbio: manual | Gasolina,1993,6,0
Vw - Volkswagen Fox - 2012,26500,70.150 km | Câmbio: manual | Flex,2012,4,70150
Honda Civic Barato - 2000,5000,120.000 km | Câmbio: automático | Gasolina,2000,1,120000
Corsa - 1996,7300,180.000 km | Câmbio: manual | Gasolina,1996,3,180000
Gn - crv 2.0 exl 2011 - 2011,0,104.000 km,2011,6,0
BrunoR Prisma Joy 1.4 FlexPower 2010 - 2010,0,52.580 km | Câmbio: manual | Flex,2010,4,52580
FORD ECOSPORT 2017/2018 1.5 TI-VCT FLEX FREESTYLE AUTOMÁTICO - 2018,66900,56.787 km | Câmbio: automático | Flex,2018,8,56787
F*R Voyage 1.6 Total Flex 2013 - 2013,0,100.000 km | Câmbio: manual | Flex,2013,5,100000
RP Fit lindo 2010 completinho - 2010,0,120.000 km | Câmbio: manual | Flex,2010,6,120000
,0,,0,0,0
% Fox km baixo (12)988785046 Valeria - 2017,44900,14.000 km,2017,4,0
Vendo ou troco por carro ou moto - 1994,14500,0 km | Câmbio: manual | Gás Natural,1994,11,0
Meriva 2011 - banco de couro - 2011,15000,145.000 km | Câmbio: manual | Flex,2011,4,145000
Corolla Xei top - 2009,38000,105.000 km | Câmbio: automático | Flex,2009,1,105000
Vendo Sandero Stepway Rip Curl 2017 - 2017,49000,48.500 km | Câmbio: semi-automático | Flex,2017,0,48500
Fluence 2014 automático !!!! - 2014,39900,60.000 km | Câmbio: automático | Flex,2014,12,60000
Ff fiat bravo sporting 2016 unico dono/baixo km - 2016,0,32.000 km | Câmbio: manual | Flex,2016,7,32000
© Mitsubishi L200 Triton 3.2 GLS CD Inter. 4x4 (Diesel)(Mec) - 2013,0,0 km | Câmbio: manual | Diesel,2013,6,0
,0,,0,0,0
+Fiat Uno - 2015,0,0 km | Câmbio: manual | Flex,2015,3,0
Renault Logan 1.6 Expression Completo 2015 - Carro Muito Conservado e Baixo Km - 2015,37900,45.000 km | Câmbio: manual | Flex,2015,7,45000
Fox Trendline 2016 1.6 completo - 2016,899,70.000 km | Câmbio: manual | Flex,2016,6,70000
Renault Sandero 2013/2014 km 79.000 - 2013,23500,79.000 km | Câmbio: manual | Flex,2013,13,79000
"Fusca 66 lindo, couro, motor 1.5 troca por moto",8900,1.000 km,0,6,0
ABX tabela Vw - Volkswagen Gol GIV - Aceito moto - 2008 - 2008,12990,1 km | Câmbio: manual | Flex,2008,10,1
Peugeot 308 Active 1.6 Flex ! Carro lindo sem detalhes - 2014,38900,97.000 km | Câmbio: manual | Flex,2014,7,97000
Vendo ou troco - 1993,0,150.000 km | Câmbio: manual | Álcool,1993,5,150000
CITROËN C4 LOUNGE 2014/2015 1.6 TENDANCE 16V TURBO FLEX 4P AUTOMATICO - 2015,47900,86.695 km | Câmbio: automático | Flex,2015,5,86695
VENDO Corolla 2010/2011 - 2011,42785,116.700 km | Câmbio: automático | Flex,2011,6,116700
,0,,0,0,0
Fox trend 1.6 flex completo impecável - 2013,30900,115.000 km | Câmbio: manual | Flex,2013,14,115000
Fit lxl automático muito conservado - 2007,25900,169 km | Câmbio: automático | Flex,2007,6,169
Spacefox Automático 1.6 2013 Completo Vendo/Troco/Financio - 2013,33900,1 km | Câmbio: automático | Flex,2013,11,1
CHEVROLET MERIVA 2004/2005 1.8 MPFI MAXX 8V FLEX 4P MANUAL - 2005,18900,111 km | Câmbio: manual | Flex,2005,5,111
FIAT DOBLÒ 2017/2018 1.8 MPI ESSENCE 16V FLEX 4P MANUAL - 2018,59900,39.738 km | Câmbio: manual | Flex,2018,9,39738
Hyundai HB20S Premium Aut. 1.6 2015 - 2015,46900,55.000 km | Câmbio: automático | Flex,2015,8,55000
VOLVO XC40 2018/2019 2.0 T5 GASOLINA MOMENTUM AWD GEARTRONIC - 2019,198000,Câmbio: automático | Gasolina,2019,15,0
HYUNDAI IX35 2011/2012 2.0 MPI 4X2 16V GASOLINA 4P AUTOMÁTICO - 2012,57900,70.000 km | Câmbio: automático | Gasolina,2012,7,70000
Livina S 1.8 Aut. 2013 - 2013,29900,68.000 km | Câmbio: automático | Flex,2013,14,68000
Apolo 1.8 gasolina - 1990,4300,179.999 km | Câmbio: manual | Gasolina,1990,2,179999
FIAT STRADA 2017/2018 1.4 MPI HARD WORKING CS 8V FLEX 2P MANUAL - 2018,39600,48.502 km | Câmbio: manual | Flex,2018,8,48502
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL - 2015,44100,71.000 km | Câmbio: manual | Flex,2015,8,71000
CITROËN C4 2010/2011 2.0 16V GASOLINA 4P AUTOMÁTICO - 2011,27990,69.000 km | Câmbio: automático | Gasolina,2011,6,69000
L200 Outdoor Diesel 4x4 Parcelas de 799 reais - 1073 - 2004,36900,100 km | Câmbio: manual | Diesel,2004,12,100
Gm - Chevrolet Zafira - 2003,19900,0 km | Câmbio: automático | Gasolina,2003,8,0
Vw - Volkswagen Jetta Highline Tsi 2.0 Automático - Impecável! Corra e Confira! - 2015,79900,1 km | Câmbio: automático | Flex,2015,9,1
Ford Fiesta Hatch 1.6 Flex Manual - 2016,38990,68.000 km | Câmbio: manual | Flex,2016,12,68000
GM Celta LT 1.0 2013 c/ ar condicionado - 2013,21890,81.000 km | Câmbio: manual | Flex,2013,13,81000
Gm - Chevrolet Onix LT 1.0 8v Flex Completo Abx. da Tabela (Financia) - 2014,32500,1 km | Câmbio: manual | Flex,2014,16,1
BMW 320i 2013 - 2013,47900,90.000 km | Câmbio: automático | Gasolina,2013,7,90000
,0,,0,0,0
Onix Lt 2016 único dono - 2016,36000,30.000 km | Câmbio: manual | Flex,2016,8,30000
HB20 - Impecável - Não troco - 2013,29500,85.000 km | Câmbio: manual | Flex,2013,3,85000
Chevrolet Captiva Captiva 2.4 16V (Aut) - 2011,41990,129.000 km | Câmbio: automático | Gasolina,2011,10,129000
Agile Ltz 1.4 2013 Completo - 2013,29900,110.000 km | Câmbio: manual | Flex,2013,13,110000
Honda Civic LXS 1.8 flex - Automático - Super Novo - 2008,35900,154.000 km | Câmbio: automático | Flex,2008,10,154000
Peugeot 207 xr 1.4 flex - 2012,21500,81.000 km | Câmbio: manual | Flex,2012,10,81000
FIAT MOBI 1.0 8V EVO FLEX EASY MANUAL - 2018,26890,12.753 km | Câmbio: manual | Flex,2018,0,12753
Golf 2001 1.6 raridade - 2001,24000,240.000 km | Câmbio: manual,2001,5,240000
Gm - Chevrolet Celta - 2007,13900,0 km | Câmbio: manual | Flex,2007,5,0
"Chevrolet Classic Baixo km - Parcela à partir de R$ 399,00 - 2014",0,67.026 km | Câmbio: manual | Flex,2014,7,67026
Kia Motors Soul +Automatico + Baixo Km - 2011,34900,146.000 km | Câmbio: automático | Flex,2011,9,146000
FORD EDGE 2011/2012 3.5 SEL 2WD V6 24V GASOLINA 4P AUTOMÁTICO - 2012,59990,69.000 km | Câmbio: automático | Gasolina,2012,6,69000
,0,,0,0,0
Renault Sandero 1.0 12v Sce Expression - 2019,38990,27.013 km | Câmbio: manual | Flex,2019,5,27013
Oportunidade !!! CR-V 2011 com teto solar - 2011,0,90 km | Câmbio: automático | Gasolina,2011,4,90
Hyundai Hb20 1.6 Comfort Style 16v - 2015,41990,60.000 km | Câmbio: automático | Flex,2015,8,60000
Renault Duster Dyn. 2.0 2012 - 2012,38900,101.000 km | Câmbio: automático | Flex,2012,9,101000
Jimny 4SPORT/ 4WORK 1.3 16V - 2012,44800,115.119 km | Câmbio: manual | Gasolina,2012,5,115119
A*M FOX 1.6 mi 2014 - 2014,0,80.000 km | Câmbio: manual | Flex,2014,3,80000
Nissan Frontier - Abaixo da Tabela - 2017,0,36.580 km | Câmbio: automático | Diesel,2017,8,36580
A*M - Chevrolet S10 2013 Completa LTZ - 2013,0,100 km | Câmbio: manual | Flex,2013,5,100
,0,,0,0,0
Colbet. 2017 - 2017,47000,37 km | Câmbio: manual | Flex,2017,1,37
"Ford/ ka sedan 1.5 SE "" 46.000 km"" - 2016",37900,45.000 km | Câmbio: manual | Flex,2016,20,45000
Fiesta Sedan 2010 - 2010,19900,139.000 km | Câmbio: manual | Flex,2010,3,139000
Cobalt ltz 1.8 2014 completão - 2014,38900,90.000 km | Câmbio: manual | Flex,2014,4,90000
HONDA CIVIC LXS 1.8 16V FLEX MECANICO 2009 - 2009,34490,172.000 km | Câmbio: manual | Flex,2009,7,172000
PEUGEOT 308 2013/2013 2.0 FELINE 16V FLEX 4P AUTOMÁTICO - 2013,37990,154.200 km | Câmbio: automático | Flex,2013,6,154200
FIAT PALIO WEEK TREKKING 2012 - 2012,27900,81.236 km | Câmbio: manual | Flex,2012,8,81236
Mitsubishi Pajero - 2007,29900,95.500 km | Câmbio: automático | Gasolina,2007,7,95500
Fusion Titanium AWD top de linha!!! - 2014,69900,49.000 km | Câmbio: automático,2014,11,49000
VOLKSWAGEN FUSCA 2.0 TSI 16V GASOLINA 2P AUTOMÁTICO - 2016,99900,48.323 km | Câmbio: automático | Gasolina,2016,8,48323
,0,,0,0,0
